# Test Data From Kijun Park
1.2500e-02   4.20800753e-01   1.15049633e-02
1.7500e-02   3.93666571e-01   1.30981921e-02
2.2500e-02   3.81220854e-01   1.34126011e-02
2.7500e-02   3.68224314e-01   1.37290240e-02
3.2500e-02   3.44132413e-01   1.37151250e-02
3.7500e-02   3.32971286e-01   1.44902500e-02
4.2500e-02   3.18970437e-01   1.53267661e-02
4.7500e-02   3.04855619e-01   1.63178134e-02
5.2500e-02   2.89261062e-01   1.71898353e-02
5.7500e-02   2.75038111e-01   1.81024761e-02
6.2500e-02   2.72934994e-01   1.94750503e-02
6.7500e-02   2.59238019e-01   2.03586253e-02
7.2500e-02   2.46670965e-01   2.12533274e-02
7.7500e-02   2.33314422e-01   2.20380721e-02
8.2500e-02   2.27192643e-01   2.31022357e-02
8.7500e-02   2.16559797e-01   2.38960303e-02
9.2500e-02   2.10059491e-01   2.48646248e-02

